id,English,Twi
id_3cw41nk751,How best can we promote sports in Ghana?,Ɔkwan bɛn so na yebetumi ahyɛ agumadi ho nkuran yiye wɔ Ghana?
id_sydzdit9oy,Challenging programs often call for a large amount of labour and resources.,"Mpɛn pii no, nhyehyɛe ahorow a emu yɛ den hwehwɛ sɛ wɔde adwumayɛfo ne nneɛma pii di dwuma."
id_uz1589vmzm,They usually go into agreement that the first person to leave will have to do this.,"Mpɛn pii no, ɛyɛ a na wɔyɛ adwene korɔ sɛ deɛ ɔbɛdi kan no bɛgu ahahan."
id_icu44ds50u,It enables children to grow up well,Ɛma mmɔfra tumi nyini yie
id_n1gh58bxb9,Education in Africa is lagging behind because students basically don't understand the importance of having knowledge and a career.,Nhomasua a ɛwɔ Abibiman mu aka nakyi esiane sɛ sukuufo no nte nimdeɛ ne adwuma a wɔbɛyɛ ase nti.
id_w4xyzlwrx1,You can also rinse your mouth with some of the mouthwashes that are designed to protect you from toothaches and other infections.,Wobɛtumi nso de aduro a wɔayɛ sɛ yɛmfa nhohoro yɛn anom no bi ahohoro w'anom na abɔ wo ban afiri kaka ne nyarewa afoforɔ ho.
id_16cvtpwkow,Normally after a conference the guest of honour takes a photo with the panerists.,"Mpɛn pii no, wɔ nhyiam bi akyi no, ɔhɔho a wɔde nidi ma no ne baguafo no twa mfonini"
id_4kdkaav52t,The warm embrace of a parent is always enough to lift one's spirits.,Ɔwofo atuu a ɛyɛ hyew dɔɔso bere nyinaa na ama ne honhom akɔ soro.
id_v01hq6o5d2,Some men also feel pain at the edge of their penis during ejaculation,Mmarima binom nso te yea wɔ wɔn to kwan no ano berɛ a wɔrekyem adwonsɔ no.
id_jle7ywptv8,"That time, nobody expected that she could become the Queen, because she was third after her father and uncle. She was crowned in 1952.","Saa berɛ no, na obiara ani nna ne so sɛ ↄbɛtumi abɛdi adeɛ, ɛfiri sɛ na ↄda ne papa ne ne wↄfa akyi mmiɛnsa, Ↄbɛdii adeɛ wↄ 1952 mu."
id_0l4ki9ov1j,The industrial park will be located at a strategic point in the region.,Wɔbɛyɛ dwumadibea prama no wɔ mantam no fa bi a ɛyɛ ɛdi mu.
id_vkvueoba9v,"Infectious diseases are common, but getting to know some of them can help you stay safe from getting sick.","Yadeɛ a ɛka nipa to hɔ deɛ, buburugyaa, mmom wonya ebinom ho nimdeɛ a, ɛbɛtumi ama woahwɛ wo kwan yie na yadeɛ bi anni wo so."
id_sqn440pt3m,"2.Dietary deficiency of certain nutrients such as iron, vitamin B12 and B9 can cause low blood pressure because the body needs all these to produce blood in the body.","2.Adidie mu no, obi annya nnuanennuro bi te sɛ ayɔn, vaetamin B12 ne B9 a, ɛtumi ma ne mogya so te ɛnam sɛ nipadua no hia weinom nyinaa ansa na atumi ayɛ mogya wɔ nipadua no mu."
id_186ox03pxh,Club fans will buy bus tickets to support players.,Club akyidifo bɛtɔ bɔs tekiti de aboa agodifo.
id_kht6ov5b60,The statue is a symbol that was put in place after Independence.,Ahoni no yɛ sɛnkyerɛnne a wɔde sii hɔ wɔ Ahofadi akyi.
id_cdip4yry3i,The festival is celebrated on the first Saturday in May.,Wɔdi afahyɛ no wɔ Memeneda a ɛdi kan wɔ Kɔtɔnimaa mu.
id_npz0zd1mvl,Products from plants harvested can be used in various ways.,wobetumi de nneɛma a efi afifide a wɔatwa mu adi dwuma wɔ akwan horow so
