id,Twi
id_p7y09ijvnw,Nneɛma bi wɔ hɔ a ɛnsɛ sɛ wɔka ho asɛm wɔ baguam.
id_h4aqatw8d2,Sɛ ayaresabea bi wɔ adɔkotafoɔ bebree a ɛnde ayarefoɔ pii bɛkɔ saa ayaresabea hɔ berɛ nyinaa.
id_hfax0afr1y,Mmabunu na wɔdi wɔn ho dwuma kɛse wɔ adwumakuo ahodoɔ mu.
id_dt5syooqpi,"Saa nhwehwɛmu yi bɛkyerɛ sɛ saa nipa yi anaa wɔn mu baako wɔ protein ho haw bi wɔ wɔn mogya no so gyɛne (SS), anaa ɛho bi wɔ hɔ a ɛho nte (AS), anaa ɛho nte (AA)."
id_18h36pahxb,Misusuw sɛ nyansa wom sɛ obiara de ɔno ara ne simma bi bɛhyɛ ne de mu wɔ nhyiam bi ase.
id_r0q04ab2n0,"Afahyɛ no akyi no, Nana Ameyaw too nsa frɛɛ Bafo sɛ ɔmmra mmɛbisa deɛ enti a wamma afahyɛ no ase."
id_so5r6n7f8t,"Ne maame de no kɔɔ kurow no mu, sɛ ɔmpɛ nadaeso. Ataade a yɛtɔɔ maa no no antumi ankɔ mu. Ɔpaw ataade kɔkɔɔ mmom sen atade tenten no."
id_hhsfpp0c6w,Ne kunu wu no maa ne werɛ howee.
id_tn1jqoup4y,Ghana mmarahyɛbadwa badwa no agye 2023 sikasɛm nhyehyɛe ne sikasɛm mu nhyehyɛe no atom.
id_azitzczs9u,atipɛnfo nhyɛso ma wonya suban bɔne te sɛ tawanom.
id_vnyv07w2xl,Aban mpanyimfo binom mfa sika a wonya fi towtua mu no nni dwuma ɔkwammɔne so.
id_q7i1av1dvb,"de yea kasaeɛ ɛfiri sɛ ɔhunu sɛ titire a ɛfa abatoɔ ho no, amanyɔfoɔ de wɔn adwene di agorɔ."
id_p8lb4ap1zw,Wɔyɛ oprehyɛn no a ɔbɛdi mmubui.
id_d3mww3zcss,"Mpɛn pii no, ahemfo na wɔyɛ wei."
id_qevclowjas,Asetenade yɛ ɔkwan a wɔfa so nya asetena mu ahiade ahorow.
id_pp79risffs,Wɔhwɛ kwan sɛ mmea ne mmabun benya adwuma yi so mfaso.
id_t04zahxy6d,Nneɛma a ɛma anumkuro ba no bi ne nea ɛdidi soɔ yi;
id_02ktiba3r5,Saa kente yi ka Akanfoɔ demokraseɛ ho asɛm.
id_gxvs23lo3b,Wobetumi atrɛw aban akyerɛkyerɛfo afi sukuu biako mu akɔ foforo mu.
id_ga26eowxrh,Mpɔtam hɔ akannifoɔ wɔ tumi a wɔde bɛboa mpɔtam hɔfo.
id_v4xa2g39s0,"Borɔfofoɔ taa ka sɛ, 'Nneɛma yɛ kɛseɛ sene nsɛm.'"
id_3gxw5xmkxq,Wɔn a wɔtu mmirika ne bɔɔlbɔfoɔ tumi hwere wɔn mu fa so nsia kɔsi du (6-10%).
id_zlgw74j3b9,Ɛnyɛ sotɔɔ biara a ɛtɔn nnubɔne na wɔama wɔn kwan sɛ wɔntɔn nnubɔne.
id_ud4xbsbzct,Ahennie no bɛyɛɛ deɛ wɔfrɛɛ no Ghana Ahemman wɔ Europa ne Arabia ɛfiri sɛ na ne ɔhempɔn din ne Ghana.
id_uoapkjatsb,"Wɔ 2010 ne 2021 nnipa kan ho amanneɛbɔ mu no, wɔde mpanimfoɔ foforɔ ɔpepem 1.2 kaa wɔn a wɔnnim akenkan ne akyerɛw no ho (mfe 15 akyi) firi ɔpepem 4.3 wɔ 2010 mu kɔɔ ɔpepem 5.5 wɔ 2021 mu."
id_c3phpndqwv,Polisifo wɔ hɔ sɛ wobedi nsɛmmɔnedi ho amanneɛbɔ ahorow a wɔde ma wɔn nyinaa ho dwuma.
id_p82z0rpzaq,"Ɛwom sɛ yɛn nyinaa fa adwennwene ne ɔhaw ahodoɔ mu deɛ, nanso sɛ ɛdɔɔso dodo a, ɛbɛtumi asɛe adwene no nkwammoa."
id_jxxzrhd6yd,Adwumakuo no fii ase yɛɛ nkitahodi nhyehyɛe bi maa aguanfo.
id_tn4tj6x5sh,Ahennie no bɛyɛɛ deɛ wɔfrɛɛ no Ghana Ahemman wɔ Europa ne Arabia ɛfiri sɛ na ne ɔhempɔn din ne Ghana.
id_9u7igcyav8,"Saa berɛ no, na wadi mfeɛ 25 berɛ a ne papa George VI wuiɛ na na ɔwɔ Kenya akɔhwɛ nsrahwɛ."
id_wi8xwei41s,Nkorɔfoɔ no daa aban no ase sɛ ɔde mmoa maa wɔn.
id_m5u5ucpj4d,Aduruyɛfoɔ a wɔtumi de yareɛ no brɛ nnipa no gyina kwan ahodoɔ a wɔfa so brɛ atiridii yareɛ no ano brɛ fam denam so a wɔtumi brɛ deɛ ntontom de ba no so.
id_4hasc97kk3,Asɔfo bɛyɛ nnwuma ahorow wɔ asɔre no mu.
id_soo62d0132,"Sɛ mako bebree kɔ yafunu mu, na sɛ woadi no yie wie a, capsaicin a ɛwɔ mako no mu no tumi ka asikyire a ɛwɔ wo yafunu no ho."
id_yvnvnkaa85,"Wɔ Ghana no, afe biara, wɔn a atiridii kum wɔn no rekɔ soro."
id_lnasq7gysw,Adansi no fii ase bere a mpanyimfo no yɛɛ nhyiam a wɔde bom no akyi.
id_v9hzdy91sx,Mepɛ sɛ meyi agyapadeɛ pa firi wɔn nsam nso.
id_kbwa4gkdyv,Cape Coast Suapɔn no ne nhwehwɛmubea titiriw a ɛwɔ Ghana.
id_idqgzhle86,Nkɔsoɔ no atumi aba ɛnam nneɛma a wɔde di dwuma no boɔ a ɛrekɔ soro nti
